geonameid,asciiname,countrycode,latitude,longitude,feature code,population
3434291,El Soberbio,AR,-27.29847,-54.19877,PPLA2,19571
3435010,Don Torcuato,AR,-34.49459,-58.62729,PPL,64867
3435038,Dolores,AR,-36.31321,-57.67918,PPLA2,25190
3435103,Curuzu Cuatia,AR,-29.79171,-58.0546,PPLA2,36390
3435217,Corrientes,AR,-27.46784,-58.8344,PPLA,339067
3435261,Concordia,AR,-31.39296,-58.02089,PPLA2,145210
3435264,Concepcion del Uruguay,AR,-32.48463,-58.23217,PPLA2,67895
3435356,Colegiales,AR,-34.57365,-58.44924,PPLX,57000
3435486,Chajari,AR,-30.75048,-57.97962,PPL,30655
3435810,Campana,AR,-34.16327,-58.95919,PPLA2,81612
3435910,Buenos Aires,AR,-34.61315,-58.37723,PPLC,13076300
3436003,Boedo,AR,-34.63333,-58.41667,PPLX,48231
3436043,Berazategui,AR,-34.76531,-58.21278,PPL,167498
3436077,Belgrano,AR,-34.5627,-58.45829,PPLX,138942
3436124,Barranqueras,AR,-27.48132,-58.93925,PPL,50823
3436134,Barracas,AR,-34.64966,-58.38341,PPLX,77474
3436177,Balcarce,AR,-37.84616,-58.25522,PPLA2,38823
3436199,Azul,AR,-36.77698,-59.85854,PPLA2,53941
3436230,Avellaneda,AR,-29.11761,-59.65834,PPL,23341
3436287,Aristobulo del Valle,AR,-27.09625,-54.89626,PPL,20683
3832132,Zapala,AR,-38.89916,-70.05442,PPLA2,31534
3832260,Yerba Buena,AR,-26.81667,-65.31667,PPLA2,50783
3832647,Villa Regina,AR,-39.1,-67.06667,PPL,31209
3832653,Villa Paula de Sarmiento,AR,-31.4933,-68.53838,PPL,19092
3832662,Villa Nueva,AR,-32.43293,-63.24763,PPL,16841
3832694,Villa Maria,AR,-32.40751,-63.24016,PPLA2,92453
3832756,Villa Dolores,AR,-31.94585,-65.18958,PPL,28009
3832778,Villa Constitucion,AR,-33.22778,-60.3297,PPLA2,44271
3832791,Villa Carlos Paz,AR,-31.42414,-64.49778,PPL,69451
3832811,Villa Angela,AR,-27.57383,-60.71526,PPLA2,43511
3832815,Villa Allende,AR,-31.29458,-64.29538,PPL,21683
3832899,Viedma,AR,-40.81345,-62.99668,PPLA,48940
3832934,Victoria,AR,-32.61841,-60.15478,PPL,25139
3833027,Vera,AR,-29.4593,-60.21261,PPLA2,19797
3833062,Venado Tuerto,AR,-33.74556,-61.96885,PPL,72340
3833112,Veinticinco de Mayo,AR,-35.4323,-60.17271,PPLA2,24668
3833367,Ushuaia,AR,-54.81084,-68.31591,PPLA,58028
3833412,Unquillo,AR,-31.23073,-64.31615,PPL,15369
3833794,Tres Isletas,AR,-26.34067,-60.43207,PPLA2,24747
3833859,Tres Arroyos,AR,-38.37394,-60.27978,PPLA2,47136
3833883,Trelew,AR,-43.24895,-65.30505,PPL,93442
3834502,Termas de Rio Hondo,AR,-27.49362,-64.85972,PPLA2,27838
3834601,Tartagal,AR,-22.51637,-63.80131,PPLA2,60819
3834813,Tafi Viejo,AR,-26.73201,-65.25921,PPLA2,48459
3834971,Sunchales,AR,-30.94404,-61.56148,PPL,18757
3835793,Santo Tome,AR,-31.66274,-60.7653,PPL,59072
3835869,Santiago del Estero,AR,-27.79511,-64.26149,PPLA,354692
3835994,Santa Rosa,AR,-36.61667,-64.28333,PPLA,111424
3836194,Santa Lucia,AR,-31.53987,-68.49503,PPLA2,43565
3836277,Santa Fe,AR,-31.64881,-60.70868,PPLA,489505
3836564,San Salvador de Jujuy,AR,-24.19457,-65.29712,PPLA,305891
